Id;Name;TextDesc;DateOfCreation;Cost;NameOfAuthor;NicknameOfAuthor;NumberOfSales;Rating
32;Gorgeous Frozen Chips;Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles;30.08.2022 16:02:31;788,46;Tami;Tami Hauck;772;3
33;Gorgeous Plastic Gloves;New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart;30.08.2022 16:02:31;136,55;Tami;Tami Hauck;3094;1
34;Intelligent Cotton Fish;Carbonite web goalkeeper gloves are ergonomically designed to give easy fit;30.08.2022 16:02:31;863,91;Tami;Tami Hauck;726;5
35;Handcrafted Rubber Chips;Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals;30.08.2022 16:02:31;675,07;Kent;Kent Strosin;781;2
36;Handcrafted Cotton Hat;Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support;30.08.2022 16:02:31;264,09;Kent;Kent Strosin;6278;1
37;Unbranded Plastic Keyboard;The Football Is Good For Training And Recreational Purposes;30.08.2022 16:02:31;670,22;Kent;Kent Strosin;90;3
38;Unbranded Plastic Towels;The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J;30.08.2022 16:02:31;222,86;Roy;Roy Prohaska;5705;5
39;Licensed Granite Towels;The Football Is Good For Training And Recreational Purposes;30.08.2022 16:02:31;207,54;Roy;Roy Prohaska;8870;3
40;Licensed Wooden Bacon;The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design;30.08.2022 16:02:31;985,56;Roy;Roy Prohaska;8154;1
41;Unbranded Soft Pants;Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles;30.08.2022 16:02:31;881,80;Luther;Luther Bergnaum;9914;1
42;Unbranded Plastic Soap;New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart;30.08.2022 16:02:31;438,27;Luther;Luther Bergnaum;2240;3
43;Awesome Concrete Gloves;The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive;30.08.2022 16:02:31;403,12;Luther;Luther Bergnaum;2331;1
44;Rustic Plastic Soap;The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J;30.08.2022 16:02:31;103,93;Dwight;Dwight Feil;4050;3
45;Gorgeous Plastic Pizza;The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design;30.08.2022 16:02:31;582,20;Dwight;Dwight Feil;2599;5
